[2023-09-28 19:04:15.524490] [gNB 1][rsc 0][Rx 0][sfn 374][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.4 dBm

[2023-09-28 19:04:15.524934] [gNB 2][rsc 0][Rx 0][sfn 374][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.7 dBm

[2023-09-28 19:04:15.525367] [gNB 3][rsc 0][Rx 0][sfn 374][slot 5] DL PRS ToA ==> 15.5 / 4096 samples, peak channel power -59.1 dBm, SNR +4.0 dB, rsrp -82.1 dBm

[2023-09-28 19:04:15.529423] [gNB 0][rsc 0][Rx 0][sfn 375][slot 2] DL PRS ToA ==> 10.5 / 4096 samples, peak channel power -51.0 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 19:04:15.529888] [gNB 1][rsc 0][Rx 0][sfn 375][slot 3] DL PRS ToA ==> 11.5 / 4096 samples, peak channel power -58.9 dBm, SNR +4.0 dB, rsrp -82.4 dBm

[2023-09-28 19:04:15.530324] [gNB 2][rsc 0][Rx 0][sfn 375][slot 4] DL PRS ToA ==> 13.0 / 4096 samples, peak channel power -56.3 dBm, SNR +4.0 dB, rsrp -82.8 dBm

[2023-09-28 19:04:15.530766] [gNB 3][rsc 0][Rx 0][sfn 375][slot 5] DL PRS ToA ==> 12.0 / 4096 samples, peak channel power -59.0 dBm, SNR +4.0 dB, rsrp -83.3 dBm

[2023-09-28 19:04:15.536048] [gNB 0][rsc 0][Rx 0][sfn 376][slot 2] DL PRS ToA ==> 11.0 / 4096 samples, peak channel power -52.1 dBm, SNR -2622080.2 dB, rsrp -76.4 dBm

[2023-09-28 19:04:15.536518] [gNB 1][rsc 0][Rx 0][sfn 376][slot 3] DL PRS ToA ==> 11.0 / 4096 samples, peak channel power -59.4 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-28 19:04:15.537010] [gNB 2][rsc 0][Rx 0][sfn 376][slot 4] DL PRS ToA ==> 13.0 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

