[2023-09-29 10:20:31.509679] [gNB 0][rsc 0][Rx 0][sfn 712][slot 2] DL PRS ToA ==> -25.2 / 4096 samples, peak channel power -58.7 dBm, SNR +4.0 dB, rsrp -79.1 dBm

[2023-09-29 10:20:31.510051] [gNB 1][rsc 0][Rx 0][sfn 712][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.7 dBm

[2023-09-29 10:20:31.510405] [gNB 2][rsc 0][Rx 0][sfn 712][slot 4] DL PRS ToA ==> -26.0 / 4096 samples, peak channel power -60.8 dBm, SNR +4.0 dB, rsrp -79.3 dBm

[2023-09-29 10:20:31.510758] [gNB 3][rsc 0][Rx 0][sfn 712][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -83.2 dBm

[2023-09-29 10:20:31.516254] [gNB 0][rsc 0][Rx 0][sfn 713][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.7 dBm

[2023-09-29 10:20:31.516613] [gNB 1][rsc 0][Rx 0][sfn 713][slot 3] DL PRS ToA ==> -24.8 / 4096 samples, peak channel power -63.5 dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-29 10:20:31.516962] [gNB 2][rsc 0][Rx 0][sfn 713][slot 4] DL PRS ToA ==> -25.2 / 4096 samples, peak channel power -61.0 dBm, SNR +4.0 dB, rsrp -80.7 dBm

[2023-09-29 10:20:31.517318] [gNB 3][rsc 0][Rx 0][sfn 713][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -84.2 dBm

[2023-09-29 10:20:31.522957] [gNB 0][rsc 0][Rx 0][sfn 714][slot 2] DL PRS ToA ==> -24.8 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -79.2 dBm

