[2023-09-29 11:15:53.461866] [gNB 3][rsc 0][Rx 0][sfn 887][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-29 11:15:53.467554] [gNB 0][rsc 0][Rx 0][sfn 888][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.8 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 11:15:53.471557] [gNB 1][rsc 0][Rx 0][sfn 888][slot 3] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -59.9 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 11:15:53.471849] [gNB 2][rsc 0][Rx 0][sfn 888][slot 4] DL PRS ToA ==> 2.5 / 4096 samples, peak channel power -52.8 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.472140] [gNB 3][rsc 0][Rx 0][sfn 888][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -58.0 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-29 11:15:53.474532] [gNB 0][rsc 0][Rx 0][sfn 889][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.2 dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-29 11:15:53.474840] [gNB 1][rsc 0][Rx 0][sfn 889][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.0 dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-29 11:15:53.475134] [gNB 2][rsc 0][Rx 0][sfn 889][slot 4] DL PRS ToA ==> 1.5 / 4096 samples, peak channel power -53.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.475465] [gNB 3][rsc 0][Rx 0][sfn 889][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-29 11:15:53.480853] [gNB 0][rsc 0][Rx 0][sfn 890][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.5 dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-29 11:15:53.481197] [gNB 1][rsc 0][Rx 0][sfn 890][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.2 dBm, SNR +4.0 dB, rsrp -81.4 dBm

[2023-09-29 11:15:53.481527] [gNB 2][rsc 0][Rx 0][sfn 890][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -50.9 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.482005] [gNB 3][rsc 0][Rx 0][sfn 890][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -57.8 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 11:15:53.487574] [gNB 0][rsc 0][Rx 0][sfn 891][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.8 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 11:15:53.487899] [gNB 1][rsc 0][Rx 0][sfn 891][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 11:15:53.488230] [gNB 2][rsc 0][Rx 0][sfn 891][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -50.5 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.488685] [gNB 3][rsc 0][Rx 0][sfn 891][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -58.0 dBm, SNR +4.0 dB, rsrp -82.7 dBm

[2023-09-29 11:15:53.494253] [gNB 0][rsc 0][Rx 0][sfn 892][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -57.1 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 11:15:53.494592] [gNB 1][rsc 0][Rx 0][sfn 892][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.9 dBm

[2023-09-29 11:15:53.494881] [gNB 2][rsc 0][Rx 0][sfn 892][slot 4] DL PRS ToA ==> 1.5 / 4096 samples, peak channel power -52.4 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.495277] [gNB 3][rsc 0][Rx 0][sfn 892][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -58.2 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-29 11:15:53.500860] [gNB 0][rsc 0][Rx 0][sfn 893][slot 2] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-29 11:15:53.501217] [gNB 1][rsc 0][Rx 0][sfn 893][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.0 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 11:15:53.501540] [gNB 2][rsc 0][Rx 0][sfn 893][slot 4] DL PRS ToA ==> 1.5 / 4096 samples, peak channel power -52.3 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.501892] [gNB 3][rsc 0][Rx 0][sfn 893][slot 5] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -58.3 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.507555] [gNB 0][rsc 0][Rx 0][sfn 894][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -57.0 dBm, SNR +4.0 dB, rsrp -81.0 dBm

[2023-09-29 11:15:53.507888] [gNB 1][rsc 0][Rx 0][sfn 894][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-29 11:15:53.508231] [gNB 2][rsc 0][Rx 0][sfn 894][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -51.9 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.508572] [gNB 3][rsc 0][Rx 0][sfn 894][slot 5] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -58.1 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-29 11:15:53.514167] [gNB 0][rsc 0][Rx 0][sfn 895][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -57.1 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 11:15:53.514497] [gNB 1][rsc 0][Rx 0][sfn 895][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.2 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 11:15:53.514837] [gNB 2][rsc 0][Rx 0][sfn 895][slot 4] DL PRS ToA ==> 1.5 / 4096 samples, peak channel power -51.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.515179] [gNB 3][rsc 0][Rx 0][sfn 895][slot 5] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -58.1 dBm, SNR +4.0 dB, rsrp -83.1 dBm

[2023-09-29 11:15:53.520863] [gNB 0][rsc 0][Rx 0][sfn 896][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -56.9 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 11:15:53.521206] [gNB 1][rsc 0][Rx 0][sfn 896][slot 3] DL PRS ToA ==> 6.5 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -83.6 dBm

[2023-09-29 11:15:53.521539] [gNB 2][rsc 0][Rx 0][sfn 896][slot 4] DL PRS ToA ==> 0.5 / 4096 samples, peak channel power -50.3 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.521895] [gNB 3][rsc 0][Rx 0][sfn 896][slot 5] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -58.2 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.527567] [gNB 0][rsc 0][Rx 0][sfn 897][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -56.6 dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-29 11:15:53.527899] [gNB 1][rsc 0][Rx 0][sfn 897][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -58.9 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 11:15:53.528236] [gNB 2][rsc 0][Rx 0][sfn 897][slot 4] DL PRS ToA ==> 1.5 / 4096 samples, peak channel power -53.0 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.528639] [gNB 3][rsc 0][Rx 0][sfn 897][slot 5] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -58.0 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 11:15:53.534182] [gNB 0][rsc 0][Rx 0][sfn 898][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -56.6 dBm, SNR +4.0 dB, rsrp -81.8 dBm

