[2023-09-29 10:54:45.818082] [gNB 0][rsc 0][Rx 0][sfn 206][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -76.5 dBm

[2023-09-29 10:54:45.818588] [gNB 1][rsc 0][Rx 0][sfn 206][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.0 dBm

[2023-09-29 10:54:45.819078] [gNB 2][rsc 0][Rx 0][sfn 206][slot 4] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 10:54:45.819564] [gNB 3][rsc 0][Rx 0][sfn 206][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -47.3 dBm, SNR +4.0 dB, rsrp -68.1 dBm

[2023-09-29 10:54:45.828087] [gNB 0][rsc 0][Rx 0][sfn 207][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.6 dBm

[2023-09-29 10:54:45.828588] [gNB 1][rsc 0][Rx 0][sfn 207][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.2 dBm

[2023-09-29 10:54:45.829119] [gNB 2][rsc 0][Rx 0][sfn 207][slot 4] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -48.9 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 10:54:45.829606] [gNB 3][rsc 0][Rx 0][sfn 207][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.9 dBm, SNR +4.0 dB, rsrp -68.4 dBm

[2023-09-29 10:54:45.838099] [gNB 0][rsc 0][Rx 0][sfn 208][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR -6753089.0 dB, rsrp -78.7 dBm

[2023-09-29 10:54:45.838569] [gNB 1][rsc 0][Rx 0][sfn 208][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.3 dBm

[2023-09-29 10:54:45.839115] [gNB 2][rsc 0][Rx 0][sfn 208][slot 4] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.4 dBm, SNR +4.0 dB, rsrp -74.6 dBm

[2023-09-29 10:54:45.839563] [gNB 3][rsc 0][Rx 0][sfn 208][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -47.9 dBm, SNR +4.0 dB, rsrp -68.5 dBm

[2023-09-29 10:54:45.848076] [gNB 0][rsc 0][Rx 0][sfn 209][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.9 dBm

[2023-09-29 10:54:45.848551] [gNB 1][rsc 0][Rx 0][sfn 209][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.4 dBm

[2023-09-29 10:54:45.849075] [gNB 2][rsc 0][Rx 0][sfn 209][slot 4] DL PRS ToA ==> -3.0 / 2048 samples, peak channel power -48.5 dBm, SNR +4.0 dB, rsrp -83.1 dBm

[2023-09-29 10:54:45.849620] [gNB 3][rsc 0][Rx 0][sfn 209][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.7 dBm, SNR +4.0 dB, rsrp -68.1 dBm

[2023-09-29 10:54:45.858109] [gNB 0][rsc 0][Rx 0][sfn 210][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.6 dBm

[2023-09-29 10:54:45.858588] [gNB 1][rsc 0][Rx 0][sfn 210][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-29 10:54:45.859050] [gNB 2][rsc 0][Rx 0][sfn 210][slot 4] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 10:54:45.859564] [gNB 3][rsc 0][Rx 0][sfn 210][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -47.7 dBm, SNR +4.0 dB, rsrp -68.2 dBm

