[2023-09-29 10:12:46.032417] [gNB 0][rsc 0][Rx 0][sfn 313][slot 2] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -52.7 dBm, SNR -2622080.2 dB, rsrp -79.2 dBm

[2023-09-29 10:12:46.032757] [gNB 1][rsc 0][Rx 0][sfn 313][slot 3] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -60.0 dBm, SNR +4.0 dB, rsrp -83.4 dBm

[2023-09-29 10:12:46.033040] [gNB 2][rsc 0][Rx 0][sfn 313][slot 4] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -55.0 dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:12:46.033357] [gNB 3][rsc 0][Rx 0][sfn 313][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.5 dBm

[2023-09-29 10:12:46.039022] [gNB 0][rsc 0][Rx 0][sfn 314][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -52.7 dBm, SNR -2622080.2 dB, rsrp -78.9 dBm

[2023-09-29 10:12:46.039360] [gNB 1][rsc 0][Rx 0][sfn 314][slot 3] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -60.3 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 10:12:46.039697] [gNB 2][rsc 0][Rx 0][sfn 314][slot 4] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -54.9 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:46.040040] [gNB 3][rsc 0][Rx 0][sfn 314][slot 5] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -58.9 dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-29 10:12:46.045751] [gNB 0][rsc 0][Rx 0][sfn 315][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -52.5 dBm, SNR +4.0 dB, rsrp -78.8 dBm

[2023-09-29 10:12:46.046059] [gNB 1][rsc 0][Rx 0][sfn 315][slot 3] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -60.2 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:46.046400] [gNB 2][rsc 0][Rx 0][sfn 315][slot 4] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -54.7 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

