[2023-09-28 16:56:54.735760] [gNB 0][rsc 0][Rx 0][sfn 367][slot 2] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -47.8 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.736276] [gNB 1][rsc 0][Rx 0][sfn 367][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.0 dBm

[2023-09-28 16:56:54.736805] [gNB 2][rsc 0][Rx 0][sfn 367][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -50.8 dBm, SNR +4.0 dB, rsrp -74.8 dBm

[2023-09-28 16:56:54.737254] [gNB 3][rsc 0][Rx 0][sfn 367][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-28 16:56:54.745767] [gNB 0][rsc 0][Rx 0][sfn 368][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.746285] [gNB 1][rsc 0][Rx 0][sfn 368][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.6 dBm

[2023-09-28 16:56:54.746771] [gNB 2][rsc 0][Rx 0][sfn 368][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.0 dBm, SNR +4.0 dB, rsrp -73.7 dBm

[2023-09-28 16:56:54.747259] [gNB 3][rsc 0][Rx 0][sfn 368][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.8 dBm, SNR +4.0 dB, rsrp -75.4 dBm

[2023-09-28 16:56:54.755778] [gNB 0][rsc 0][Rx 0][sfn 369][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -48.1 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.756261] [gNB 1][rsc 0][Rx 0][sfn 369][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.5 dBm

[2023-09-28 16:56:54.756822] [gNB 2][rsc 0][Rx 0][sfn 369][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.2 dBm, SNR +4.0 dB, rsrp -74.4 dBm

[2023-09-28 16:56:54.757269] [gNB 3][rsc 0][Rx 0][sfn 369][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.9 dBm, SNR +4.0 dB, rsrp -75.8 dBm

[2023-09-28 16:56:54.765790] [gNB 0][rsc 0][Rx 0][sfn 370][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -47.2 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.766271] [gNB 1][rsc 0][Rx 0][sfn 370][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.5 dBm

[2023-09-28 16:56:54.766787] [gNB 2][rsc 0][Rx 0][sfn 370][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.0 dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-28 16:56:54.767309] [gNB 3][rsc 0][Rx 0][sfn 370][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -76.6 dBm

[2023-09-28 16:56:54.775794] [gNB 0][rsc 0][Rx 0][sfn 371][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -47.6 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.776274] [gNB 1][rsc 0][Rx 0][sfn 371][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.0 dBm

[2023-09-28 16:56:54.776762] [gNB 2][rsc 0][Rx 0][sfn 371][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -50.9 dBm, SNR +4.0 dB, rsrp -74.7 dBm

[2023-09-28 16:56:54.777280] [gNB 3][rsc 0][Rx 0][sfn 371][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.7 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 16:56:54.785772] [gNB 0][rsc 0][Rx 0][sfn 372][slot 2] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.786281] [gNB 1][rsc 0][Rx 0][sfn 372][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.0 dBm

[2023-09-28 16:56:54.786770] [gNB 2][rsc 0][Rx 0][sfn 372][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.1 dBm, SNR +4.0 dB, rsrp -73.9 dBm

[2023-09-28 16:56:54.787321] [gNB 3][rsc 0][Rx 0][sfn 372][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -75.5 dBm

[2023-09-28 16:56:54.795774] [gNB 0][rsc 0][Rx 0][sfn 373][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -46.3 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.796286] [gNB 1][rsc 0][Rx 0][sfn 373][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-28 16:56:54.796780] [gNB 2][rsc 0][Rx 0][sfn 373][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.0 dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-28 16:56:54.797261] [gNB 3][rsc 0][Rx 0][sfn 373][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -76.6 dBm

[2023-09-28 16:56:54.805781] [gNB 0][rsc 0][Rx 0][sfn 374][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -48.8 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.806263] [gNB 1][rsc 0][Rx 0][sfn 374][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.3 dBm

[2023-09-28 16:56:54.806823] [gNB 2][rsc 0][Rx 0][sfn 374][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.2 dBm, SNR +4.0 dB, rsrp -74.2 dBm

[2023-09-28 16:56:54.807311] [gNB 3][rsc 0][Rx 0][sfn 374][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.7 dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-28 16:56:54.815792] [gNB 0][rsc 0][Rx 0][sfn 375][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -46.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.816274] [gNB 1][rsc 0][Rx 0][sfn 375][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.1 dBm

[2023-09-28 16:56:54.816792] [gNB 2][rsc 0][Rx 0][sfn 375][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.1 dBm, SNR +4.0 dB, rsrp -74.9 dBm

[2023-09-28 16:56:54.817275] [gNB 3][rsc 0][Rx 0][sfn 375][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-28 16:56:54.825792] [gNB 0][rsc 0][Rx 0][sfn 376][slot 2] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -46.6 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.826276] [gNB 1][rsc 0][Rx 0][sfn 376][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.1 dBm

[2023-09-28 16:56:54.826763] [gNB 2][rsc 0][Rx 0][sfn 376][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -50.8 dBm, SNR +4.0 dB, rsrp -74.8 dBm

[2023-09-28 16:56:54.827319] [gNB 3][rsc 0][Rx 0][sfn 376][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.5 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 16:56:54.835771] [gNB 0][rsc 0][Rx 0][sfn 377][slot 2] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -47.6 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.836285] [gNB 1][rsc 0][Rx 0][sfn 377][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.7 dBm

[2023-09-28 16:56:54.836772] [gNB 2][rsc 0][Rx 0][sfn 377][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.2 dBm, SNR +4.0 dB, rsrp -74.6 dBm

[2023-09-28 16:56:54.837290] [gNB 3][rsc 0][Rx 0][sfn 377][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.7 dBm, SNR +4.0 dB, rsrp -75.9 dBm

[2023-09-28 16:56:54.845777] [gNB 0][rsc 0][Rx 0][sfn 378][slot 2] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -48.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.846291] [gNB 1][rsc 0][Rx 0][sfn 378][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.1 dBm

[2023-09-28 16:56:54.846825] [gNB 2][rsc 0][Rx 0][sfn 378][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -50.9 dBm, SNR +4.0 dB, rsrp -74.8 dBm

[2023-09-28 16:56:54.847303] [gNB 3][rsc 0][Rx 0][sfn 378][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.5 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 16:56:54.855782] [gNB 0][rsc 0][Rx 0][sfn 379][slot 2] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.856265] [gNB 1][rsc 0][Rx 0][sfn 379][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.8 dBm

[2023-09-28 16:56:54.865390] [gNB 2][rsc 0][Rx 0][sfn 379][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.2 dBm, SNR +4.0 dB, rsrp -74.7 dBm

[2023-09-28 16:56:54.865619] [gNB 3][rsc 0][Rx 0][sfn 379][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.7 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 16:56:54.867779] [gNB 0][rsc 0][Rx 0][sfn 380][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.868005] [gNB 1][rsc 0][Rx 0][sfn 380][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -84.9 dBm

[2023-09-28 16:56:54.868205] [gNB 2][rsc 0][Rx 0][sfn 380][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -50.8 dBm, SNR +4.0 dB, rsrp -75.9 dBm

[2023-09-28 16:56:54.868436] [gNB 3][rsc 0][Rx 0][sfn 380][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.3 dBm, SNR +4.0 dB, rsrp -77.4 dBm

[2023-09-28 16:56:54.875795] [gNB 0][rsc 0][Rx 0][sfn 381][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -48.8 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.876288] [gNB 1][rsc 0][Rx 0][sfn 381][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.7 dBm

[2023-09-28 16:56:54.876764] [gNB 2][rsc 0][Rx 0][sfn 381][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.1 dBm, SNR +4.0 dB, rsrp -75.5 dBm

[2023-09-28 16:56:54.877284] [gNB 3][rsc 0][Rx 0][sfn 381][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -76.8 dBm

[2023-09-28 16:56:54.885806] [gNB 0][rsc 0][Rx 0][sfn 382][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -48.8 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.886287] [gNB 1][rsc 0][Rx 0][sfn 382][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.9 dBm

[2023-09-28 16:56:54.886815] [gNB 2][rsc 0][Rx 0][sfn 382][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.1 dBm, SNR +4.0 dB, rsrp -74.4 dBm

[2023-09-28 16:56:54.887331] [gNB 3][rsc 0][Rx 0][sfn 382][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -75.9 dBm

[2023-09-28 16:56:54.895777] [gNB 0][rsc 0][Rx 0][sfn 383][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -48.9 dBm, SNR +4.0 dB, rsrp +nan dBm

