[2023-09-28 15:47:55.037109] [gNB 1][rsc 0][Rx 0][sfn 862][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:47:55.037491] [gNB 2][rsc 0][Rx 0][sfn 862][slot 4] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -52.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.038100] [gNB 3][rsc 0][Rx 0][sfn 862][slot 5] DL PRS ToA ==> -38.0 / 4096 samples, peak channel power -53.4 dBm, SNR -3298746.0 dB, rsrp -78.4 dBm

[2023-09-28 15:47:55.043311] [gNB 0][rsc 0][Rx 0][sfn 863][slot 2] DL PRS ToA ==> -35.0 / 4096 samples, peak channel power -55.8 dBm, SNR -3298746.0 dB, rsrp -78.1 dBm

[2023-09-28 15:47:55.043703] [gNB 1][rsc 0][Rx 0][sfn 863][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.1 dBm

[2023-09-28 15:47:55.044083] [gNB 2][rsc 0][Rx 0][sfn 863][slot 4] DL PRS ToA ==> -1059.0 / 4096 samples, peak channel power -53.2 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.044622] [gNB 3][rsc 0][Rx 0][sfn 863][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.3 dBm

[2023-09-28 15:47:55.050013] [gNB 0][rsc 0][Rx 0][sfn 864][slot 2] DL PRS ToA ==> -37.0 / 4096 samples, peak channel power -52.5 dBm, SNR -3298746.0 dB, rsrp -78.2 dBm

[2023-09-28 15:47:55.050399] [gNB 1][rsc 0][Rx 0][sfn 864][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:47:55.050781] [gNB 2][rsc 0][Rx 0][sfn 864][slot 4] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -54.1 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.051277] [gNB 3][rsc 0][Rx 0][sfn 864][slot 5] DL PRS ToA ==> -37.0 / 4096 samples, peak channel power -53.2 dBm, SNR +4.0 dB, rsrp -78.3 dBm

[2023-09-28 15:47:55.056631] [gNB 0][rsc 0][Rx 0][sfn 865][slot 2] DL PRS ToA ==> -35.0 / 4096 samples, peak channel power -55.2 dBm, SNR -3298746.0 dB, rsrp -78.5 dBm

[2023-09-28 15:47:55.057032] [gNB 1][rsc 0][Rx 0][sfn 865][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -84.2 dBm

[2023-09-28 15:47:55.057410] [gNB 2][rsc 0][Rx 0][sfn 865][slot 4] DL PRS ToA ==> -38.0 / 4096 samples, peak channel power -53.6 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.057934] [gNB 3][rsc 0][Rx 0][sfn 865][slot 5] DL PRS ToA ==> -38.0 / 4096 samples, peak channel power -55.7 dBm, SNR +4.0 dB, rsrp -78.2 dBm

[2023-09-28 15:47:55.063334] [gNB 0][rsc 0][Rx 0][sfn 866][slot 2] DL PRS ToA ==> -37.0 / 4096 samples, peak channel power -53.9 dBm, SNR -3298746.0 dB, rsrp -78.3 dBm

[2023-09-28 15:47:55.063718] [gNB 1][rsc 0][Rx 0][sfn 866][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:47:55.064094] [gNB 2][rsc 0][Rx 0][sfn 866][slot 4] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -52.8 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.064625] [gNB 3][rsc 0][Rx 0][sfn 866][slot 5] DL PRS ToA ==> -38.0 / 4096 samples, peak channel power -53.3 dBm, SNR -3298746.0 dB, rsrp -78.4 dBm

[2023-09-28 15:47:55.070032] [gNB 0][rsc 0][Rx 0][sfn 867][slot 2] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -56.5 dBm, SNR -3298746.0 dB, rsrp -78.2 dBm

[2023-09-28 15:47:55.070412] [gNB 1][rsc 0][Rx 0][sfn 867][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -84.9 dBm

[2023-09-28 15:47:55.070785] [gNB 2][rsc 0][Rx 0][sfn 867][slot 4] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -53.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.071310] [gNB 3][rsc 0][Rx 0][sfn 867][slot 5] DL PRS ToA ==> -37.0 / 4096 samples, peak channel power -54.9 dBm, SNR -3298746.0 dB, rsrp -78.5 dBm

[2023-09-28 15:47:55.076664] [gNB 0][rsc 0][Rx 0][sfn 868][slot 2] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -54.6 dBm, SNR +4.0 dB, rsrp -77.4 dBm

[2023-09-28 15:47:55.077046] [gNB 1][rsc 0][Rx 0][sfn 868][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.1 dBm

[2023-09-28 15:47:55.077429] [gNB 2][rsc 0][Rx 0][sfn 868][slot 4] DL PRS ToA ==> -37.0 / 4096 samples, peak channel power -55.3 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.077939] [gNB 3][rsc 0][Rx 0][sfn 868][slot 5] DL PRS ToA ==> -38.0 / 4096 samples, peak channel power -56.2 dBm, SNR -3298746.0 dB, rsrp -78.5 dBm

[2023-09-28 15:47:55.083344] [gNB 0][rsc 0][Rx 0][sfn 869][slot 2] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -55.4 dBm, SNR +4.0 dB, rsrp -78.0 dBm

[2023-09-28 15:47:55.083735] [gNB 1][rsc 0][Rx 0][sfn 869][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.1 dBm

[2023-09-28 15:47:55.084110] [gNB 2][rsc 0][Rx 0][sfn 869][slot 4] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -54.2 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.084649] [gNB 3][rsc 0][Rx 0][sfn 869][slot 5] DL PRS ToA ==> -38.0 / 4096 samples, peak channel power -54.0 dBm, SNR -3298746.0 dB, rsrp -78.5 dBm

[2023-09-28 15:47:55.089958] [gNB 0][rsc 0][Rx 0][sfn 870][slot 2] DL PRS ToA ==> -36.0 / 4096 samples, peak channel power -55.2 dBm, SNR -3298746.0 dB, rsrp -78.2 dBm

[2023-09-28 15:47:55.090372] [gNB 1][rsc 0][Rx 0][sfn 870][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -84.9 dBm

[2023-09-28 15:47:55.090750] [gNB 2][rsc 0][Rx 0][sfn 870][slot 4] DL PRS ToA ==> -39.0 / 4096 samples, peak channel power -55.0 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.091278] [gNB 3][rsc 0][Rx 0][sfn 870][slot 5] DL PRS ToA ==> -39.0 / 4096 samples, peak channel power -56.7 dBm, SNR +4.0 dB, rsrp -77.7 dBm

[2023-09-28 15:47:55.096669] [gNB 0][rsc 0][Rx 0][sfn 871][slot 2] DL PRS ToA ==> -39.0 / 4096 samples, peak channel power -52.9 dBm, SNR -3298746.0 dB, rsrp -78.5 dBm

[2023-09-28 15:47:55.097059] [gNB 1][rsc 0][Rx 0][sfn 871][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298744.0 dB, rsrp -87.0 dBm

[2023-09-28 15:47:55.097457] [gNB 2][rsc 0][Rx 0][sfn 871][slot 4] DL PRS ToA ==> 2011.0 / 4096 samples, peak channel power -55.1 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:47:55.098078] [gNB 3][rsc 0][Rx 0][sfn 871][slot 5] DL PRS ToA ==> -39.0 / 4096 samples, peak channel power -53.9 dBm, SNR +4.0 dB, rsrp -78.3 dBm

[2023-09-28 15:47:55.103367] [gNB 0][rsc 0][Rx 0][sfn 872][slot 2] DL PRS ToA ==> -37.0 / 4096 samples, peak channel power -55.0 dBm, SNR -3298746.0 dB, rsrp -78.5 dBm

[2023-09-28 15:47:55.103761] [gNB 1][rsc 0][Rx 0][sfn 872][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.1 dBm

