[2023-09-28 17:11:45.208507] [gNB 1][rsc 0][Rx 0][sfn 1003][slot 3] DL PRS ToA ==> 10.0 / 4096 samples, peak channel power -58.9 dBm, SNR -2622080.2 dB, rsrp -83.9 dBm

[2023-09-28 17:11:45.209012] [gNB 2][rsc 0][Rx 0][sfn 1003][slot 4] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp -79.3 dBm

[2023-09-28 17:11:45.209435] [gNB 3][rsc 0][Rx 0][sfn 1003][slot 5] DL PRS ToA ==> 6.0 / 4096 samples, peak channel power -56.0 dBm, SNR +4.0 dB, rsrp -79.6 dBm

[2023-09-28 17:11:45.214745] [gNB 0][rsc 0][Rx 0][sfn 1004][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.2 dBm

[2023-09-28 17:11:45.215195] [gNB 1][rsc 0][Rx 0][sfn 1004][slot 3] DL PRS ToA ==> 11.0 / 4096 samples, peak channel power -57.9 dBm, SNR +4.0 dB, rsrp -83.5 dBm

[2023-09-28 17:11:45.215698] [gNB 2][rsc 0][Rx 0][sfn 1004][slot 4] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -56.1 dBm, SNR +4.0 dB, rsrp -80.7 dBm

[2023-09-28 17:11:45.216229] [gNB 3][rsc 0][Rx 0][sfn 1004][slot 5] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -54.8 dBm, SNR -2622080.2 dB, rsrp -79.5 dBm

[2023-09-28 17:11:45.221450] [gNB 0][rsc 0][Rx 0][sfn 1005][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.2 dBm

[2023-09-28 17:11:45.221900] [gNB 1][rsc 0][Rx 0][sfn 1005][slot 3] DL PRS ToA ==> 14.0 / 4096 samples, peak channel power -58.8 dBm, SNR +4.0 dB, rsrp -82.3 dBm

[2023-09-28 17:11:45.222409] [gNB 2][rsc 0][Rx 0][sfn 1005][slot 4] DL PRS ToA ==> 11.0 / 4096 samples, peak channel power -52.4 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

