[2023-09-28 15:09:57.921040] [gNB 0][rsc 0][Rx 0][sfn 58][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.7 dBm

[2023-09-28 15:09:57.921526] [gNB 1][rsc 0][Rx 0][sfn 58][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.6 dBm, SNR +4.0 dB, rsrp -72.2 dBm

[2023-09-28 15:09:57.922052] [gNB 2][rsc 0][Rx 0][sfn 58][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -58.7 dBm, SNR +4.0 dB, rsrp -76.7 dBm

[2023-09-28 15:09:57.922533] [gNB 3][rsc 0][Rx 0][sfn 58][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.3 dBm

[2023-09-28 15:09:57.931046] [gNB 0][rsc 0][Rx 0][sfn 59][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.2 dBm

[2023-09-28 15:09:57.931538] [gNB 1][rsc 0][Rx 0][sfn 59][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-28 15:09:57.932059] [gNB 2][rsc 0][Rx 0][sfn 59][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.9 dBm

[2023-09-28 15:09:57.932548] [gNB 3][rsc 0][Rx 0][sfn 59][slot 5] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.2 dBm, SNR +4.0 dB, rsrp -75.4 dBm

[2023-09-28 15:09:57.941061] [gNB 0][rsc 0][Rx 0][sfn 60][slot 2] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.9 dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-28 15:09:57.941542] [gNB 1][rsc 0][Rx 0][sfn 60][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.6 dBm, SNR +4.0 dB, rsrp -72.4 dBm

