[2023-09-28 15:44:46.470766] [gNB 2][rsc 0][Rx 0][sfn 404][slot 4] DL PRS ToA ==> 22.0 / 4096 samples, peak channel power -54.3 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.471140] [gNB 3][rsc 0][Rx 0][sfn 404][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -77.9 dBm

[2023-09-28 15:44:46.476602] [gNB 0][rsc 0][Rx 0][sfn 405][slot 2] DL PRS ToA ==> 27.0 / 4096 samples, peak channel power -55.1 dBm, SNR -3298746.0 dB, rsrp -74.4 dBm

[2023-09-28 15:44:46.476994] [gNB 1][rsc 0][Rx 0][sfn 405][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:44:46.477372] [gNB 2][rsc 0][Rx 0][sfn 405][slot 4] DL PRS ToA ==> 27.0 / 4096 samples, peak channel power -54.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.477752] [gNB 3][rsc 0][Rx 0][sfn 405][slot 5] DL PRS ToA ==> 27.0 / 4096 samples, peak channel power -55.7 dBm, SNR -3298746.0 dB, rsrp -78.3 dBm

[2023-09-28 15:44:46.483302] [gNB 0][rsc 0][Rx 0][sfn 406][slot 2] DL PRS ToA ==> 1049.0 / 4096 samples, peak channel power -52.2 dBm, SNR -3298746.0 dB, rsrp -74.2 dBm

[2023-09-28 15:44:46.483685] [gNB 1][rsc 0][Rx 0][sfn 406][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -84.9 dBm

[2023-09-28 15:44:46.484064] [gNB 2][rsc 0][Rx 0][sfn 406][slot 4] DL PRS ToA ==> 26.0 / 4096 samples, peak channel power -54.3 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.484480] [gNB 3][rsc 0][Rx 0][sfn 406][slot 5] DL PRS ToA ==> 27.0 / 4096 samples, peak channel power -54.5 dBm, SNR +4.0 dB, rsrp -77.8 dBm

[2023-09-28 15:44:46.490231] [gNB 0][rsc 0][Rx 0][sfn 407][slot 2] DL PRS ToA ==> 33.0 / 4096 samples, peak channel power -52.4 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.490611] [gNB 1][rsc 0][Rx 0][sfn 407][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.5 dBm

[2023-09-28 15:44:46.491005] [gNB 2][rsc 0][Rx 0][sfn 407][slot 4] DL PRS ToA ==> 33.0 / 4096 samples, peak channel power -55.8 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.491416] [gNB 3][rsc 0][Rx 0][sfn 407][slot 5] DL PRS ToA ==> 33.0 / 4096 samples, peak channel power -54.2 dBm, SNR +4.0 dB, rsrp -77.8 dBm

[2023-09-28 15:44:46.496614] [gNB 0][rsc 0][Rx 0][sfn 408][slot 2] DL PRS ToA ==> 32.0 / 4096 samples, peak channel power -53.1 dBm, SNR -3298746.0 dB, rsrp -74.4 dBm

[2023-09-28 15:44:46.497008] [gNB 1][rsc 0][Rx 0][sfn 408][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -85.0 dBm

[2023-09-28 15:44:46.497390] [gNB 2][rsc 0][Rx 0][sfn 408][slot 4] DL PRS ToA ==> 32.0 / 4096 samples, peak channel power -54.2 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.497787] [gNB 3][rsc 0][Rx 0][sfn 408][slot 5] DL PRS ToA ==> 32.0 / 4096 samples, peak channel power -55.3 dBm, SNR -3298746.0 dB, rsrp -78.0 dBm

[2023-09-28 15:44:46.503316] [gNB 0][rsc 0][Rx 0][sfn 409][slot 2] DL PRS ToA ==> 39.0 / 4096 samples, peak channel power -54.0 dBm, SNR -3298746.0 dB, rsrp -74.2 dBm

[2023-09-28 15:44:46.503701] [gNB 1][rsc 0][Rx 0][sfn 409][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -84.8 dBm

[2023-09-28 15:44:46.504080] [gNB 2][rsc 0][Rx 0][sfn 409][slot 4] DL PRS ToA ==> 38.0 / 4096 samples, peak channel power -54.7 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.504489] [gNB 3][rsc 0][Rx 0][sfn 409][slot 5] DL PRS ToA ==> 37.0 / 4096 samples, peak channel power -55.3 dBm, SNR +4.0 dB, rsrp -77.0 dBm

[2023-09-28 15:44:46.509945] [gNB 0][rsc 0][Rx 0][sfn 410][slot 2] DL PRS ToA ==> 1061.0 / 4096 samples, peak channel power -52.2 dBm, SNR -3298746.0 dB, rsrp -74.3 dBm

[2023-09-28 15:44:46.510322] [gNB 1][rsc 0][Rx 0][sfn 410][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -84.9 dBm

[2023-09-28 15:44:46.510712] [gNB 2][rsc 0][Rx 0][sfn 410][slot 4] DL PRS ToA ==> 37.0 / 4096 samples, peak channel power -56.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.511086] [gNB 3][rsc 0][Rx 0][sfn 410][slot 5] DL PRS ToA ==> 38.0 / 4096 samples, peak channel power -54.9 dBm, SNR -3298746.0 dB, rsrp -78.0 dBm

[2023-09-28 15:44:46.516632] [gNB 0][rsc 0][Rx 0][sfn 411][slot 2] DL PRS ToA ==> 44.0 / 4096 samples, peak channel power -54.5 dBm, SNR -3298746.0 dB, rsrp -74.4 dBm

