[2023-09-28 19:02:17.144895] [gNB 2][rsc 0][Rx 0][sfn 27][slot 4] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -55.7 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-28 19:02:17.145508] [gNB 3][rsc 0][Rx 0][sfn 27][slot 5] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -56.4 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-28 19:02:17.150302] [gNB 0][rsc 0][Rx 0][sfn 28][slot 2] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -56.1 dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-28 19:02:17.150962] [gNB 1][rsc 0][Rx 0][sfn 28][slot 3] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -56.2 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-28 19:02:17.151608] [gNB 2][rsc 0][Rx 0][sfn 28][slot 4] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -55.1 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-28 19:02:17.152251] [gNB 3][rsc 0][Rx 0][sfn 28][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -83.4 dBm

[2023-09-28 19:02:17.156957] [gNB 0][rsc 0][Rx 0][sfn 29][slot 2] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -55.2 dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-28 19:02:17.157632] [gNB 1][rsc 0][Rx 0][sfn 29][slot 3] DL PRS ToA ==> 5.0 / 4096 samples, peak channel power -56.9 dBm, SNR +4.0 dB, rsrp -82.4 dBm

[2023-09-28 19:02:17.158262] [gNB 2][rsc 0][Rx 0][sfn 29][slot 4] DL PRS ToA ==> 6.0 / 4096 samples, peak channel power -54.9 dBm, SNR +4.0 dB, rsrp -81.8 dBm

[2023-09-28 19:02:17.158870] [gNB 3][rsc 0][Rx 0][sfn 29][slot 5] DL PRS ToA ==> 5.0 / 4096 samples, peak channel power -57.0 dBm, SNR +4.0 dB, rsrp -82.3 dBm

[2023-09-28 19:02:17.163625] [gNB 0][rsc 0][Rx 0][sfn 30][slot 2] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -54.8 dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:02:17.164259] [gNB 1][rsc 0][Rx 0][sfn 30][slot 3] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -58.3 dBm, SNR -2622080.2 dB, rsrp -82.4 dBm

[2023-09-28 19:02:17.164884] [gNB 2][rsc 0][Rx 0][sfn 30][slot 4] DL PRS ToA ==> 6.0 / 4096 samples, peak channel power -53.8 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:02:17.165512] [gNB 3][rsc 0][Rx 0][sfn 30][slot 5] DL PRS ToA ==> 5.0 / 4096 samples, peak channel power -56.0 dBm, SNR +4.0 dB, rsrp -83.3 dBm

[2023-09-28 19:02:17.170337] [gNB 0][rsc 0][Rx 0][sfn 31][slot 2] DL PRS ToA ==> 6.0 / 4096 samples, peak channel power -54.9 dBm, SNR -2622080.2 dB, rsrp -76.6 dBm

[2023-09-28 19:02:17.171000] [gNB 1][rsc 0][Rx 0][sfn 31][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -56.5 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:02:17.171609] [gNB 2][rsc 0][Rx 0][sfn 31][slot 4] DL PRS ToA ==> 9.0 / 4096 samples, peak channel power -55.9 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-28 19:02:17.172221] [gNB 3][rsc 0][Rx 0][sfn 31][slot 5] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -56.6 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-28 19:02:17.176945] [gNB 0][rsc 0][Rx 0][sfn 32][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -55.1 dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:02:17.177598] [gNB 1][rsc 0][Rx 0][sfn 32][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -56.5 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-28 19:02:17.178251] [gNB 2][rsc 0][Rx 0][sfn 32][slot 4] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -55.5 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-28 19:02:17.178880] [gNB 3][rsc 0][Rx 0][sfn 32][slot 5] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -58.3 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-28 19:02:17.183653] [gNB 0][rsc 0][Rx 0][sfn 33][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -53.5 dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-28 19:02:17.184338] [gNB 1][rsc 0][Rx 0][sfn 33][slot 3] DL PRS ToA ==> 10.0 / 4096 samples, peak channel power -57.2 dBm, SNR +4.0 dB, rsrp -82.6 dBm

[2023-09-28 19:02:17.184998] [gNB 2][rsc 0][Rx 0][sfn 33][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-28 19:02:17.185636] [gNB 3][rsc 0][Rx 0][sfn 33][slot 5] DL PRS ToA ==> 10.0 / 4096 samples, peak channel power -56.6 dBm, SNR +4.0 dB, rsrp -82.8 dBm

[2023-09-28 19:02:17.190279] [gNB 0][rsc 0][Rx 0][sfn 34][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:02:17.190954] [gNB 1][rsc 0][Rx 0][sfn 34][slot 3] DL PRS ToA ==> 9.0 / 4096 samples, peak channel power -57.6 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-28 19:02:17.191577] [gNB 2][rsc 0][Rx 0][sfn 34][slot 4] DL PRS ToA ==> 11.0 / 4096 samples, peak channel power -55.4 dBm, SNR +4.0 dB, rsrp -81.5 dBm

[2023-09-28 19:02:17.192184] [gNB 3][rsc 0][Rx 0][sfn 34][slot 5] DL PRS ToA ==> 10.0 / 4096 samples, peak channel power -56.3 dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-28 19:02:17.196971] [gNB 0][rsc 0][Rx 0][sfn 35][slot 2] DL PRS ToA ==> 12.0 / 4096 samples, peak channel power -54.2 dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:02:17.197633] [gNB 1][rsc 0][Rx 0][sfn 35][slot 3] DL PRS ToA ==> 12.0 / 4096 samples, peak channel power -56.6 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-28 19:02:17.198269] [gNB 2][rsc 0][Rx 0][sfn 35][slot 4] DL PRS ToA ==> 14.0 / 4096 samples, peak channel power -54.9 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-28 19:02:17.198896] [gNB 3][rsc 0][Rx 0][sfn 35][slot 5] DL PRS ToA ==> 13.0 / 4096 samples, peak channel power -56.7 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-28 19:02:17.203623] [gNB 0][rsc 0][Rx 0][sfn 36][slot 2] DL PRS ToA ==> 12.0 / 4096 samples, peak channel power -54.4 dBm, SNR -2622080.2 dB, rsrp -76.6 dBm

[2023-09-28 19:02:17.204297] [gNB 1][rsc 0][Rx 0][sfn 36][slot 3] DL PRS ToA ==> 12.0 / 4096 samples, peak channel power -56.3 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-28 19:02:17.204949] [gNB 2][rsc 0][Rx 0][sfn 36][slot 4] DL PRS ToA ==> 13.0 / 4096 samples, peak channel power -54.9 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-28 19:02:17.205614] [gNB 3][rsc 0][Rx 0][sfn 36][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-28 19:02:17.210292] [gNB 0][rsc 0][Rx 0][sfn 37][slot 2] DL PRS ToA ==> 1038.0 / 4096 samples, peak channel power -52.5 dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:02:17.210972] [gNB 1][rsc 0][Rx 0][sfn 37][slot 3] DL PRS ToA ==> 15.0 / 4096 samples, peak channel power -57.7 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-28 19:02:17.211601] [gNB 2][rsc 0][Rx 0][sfn 37][slot 4] DL PRS ToA ==> 16.0 / 4096 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp -82.1 dBm

[2023-09-28 19:02:17.212215] [gNB 3][rsc 0][Rx 0][sfn 37][slot 5] DL PRS ToA ==> 15.0 / 4096 samples, peak channel power -56.3 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-28 19:02:17.216942] [gNB 0][rsc 0][Rx 0][sfn 38][slot 2] DL PRS ToA ==> 14.0 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-28 19:02:17.217615] [gNB 1][rsc 0][Rx 0][sfn 38][slot 3] DL PRS ToA ==> 14.0 / 4096 samples, peak channel power -57.3 dBm, SNR +4.0 dB, rsrp -83.4 dBm

[2023-09-28 19:02:17.218235] [gNB 2][rsc 0][Rx 0][sfn 38][slot 4] DL PRS ToA ==> 16.0 / 4096 samples, peak channel power -53.8 dBm, SNR +4.0 dB, rsrp -80.4 dBm

[2023-09-28 19:02:17.218843] [gNB 3][rsc 0][Rx 0][sfn 38][slot 5] DL PRS ToA ==> 15.0 / 4096 samples, peak channel power -56.3 dBm, SNR +4.0 dB, rsrp -82.6 dBm

[2023-09-28 19:02:17.223648] [gNB 0][rsc 0][Rx 0][sfn 39][slot 2] DL PRS ToA ==> 18.0 / 4096 samples, peak channel power -56.7 dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:02:17.224312] [gNB 1][rsc 0][Rx 0][sfn 39][slot 3] DL PRS ToA ==> 17.0 / 4096 samples, peak channel power -56.6 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-28 19:02:17.224924] [gNB 2][rsc 0][Rx 0][sfn 39][slot 4] DL PRS ToA ==> 19.0 / 4096 samples, peak channel power -54.5 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-28 19:02:17.225548] [gNB 3][rsc 0][Rx 0][sfn 39][slot 5] DL PRS ToA ==> 18.0 / 4096 samples, peak channel power -57.0 dBm, SNR +4.0 dB, rsrp -82.3 dBm

[2023-09-28 19:02:17.230307] [gNB 0][rsc 0][Rx 0][sfn 40][slot 2] DL PRS ToA ==> 17.0 / 4096 samples, peak channel power -54.6 dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:02:17.230957] [gNB 1][rsc 0][Rx 0][sfn 40][slot 3] DL PRS ToA ==> 17.0 / 4096 samples, peak channel power -56.2 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-28 19:02:17.231589] [gNB 2][rsc 0][Rx 0][sfn 40][slot 4] DL PRS ToA ==> 18.0 / 4096 samples, peak channel power -54.9 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-28 19:02:17.232234] [gNB 3][rsc 0][Rx 0][sfn 40][slot 5] DL PRS ToA ==> 17.0 / 4096 samples, peak channel power -57.6 dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-28 19:02:17.237007] [gNB 0][rsc 0][Rx 0][sfn 41][slot 2] DL PRS ToA ==> 19.0 / 4096 samples, peak channel power -54.8 dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:02:17.237685] [gNB 1][rsc 0][Rx 0][sfn 41][slot 3] DL PRS ToA ==> 20.0 / 4096 samples, peak channel power -58.0 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-28 19:02:17.238314] [gNB 2][rsc 0][Rx 0][sfn 41][slot 4] DL PRS ToA ==> 21.0 / 4096 samples, peak channel power -53.9 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

